Genotype	TraitA_T1	TraitA_T2	TraitA_T3	TraitB_T1	TraitB_T2	TraitB_T3	TraitC_T1	TraitC_T2	TraitC_T3
2	-1.6198	1.9155	1.2365	-0.95186	-0.06658	0.96942	-0.18211	-0.49517	-0.41439
2	-1.0683	0.96089	1.1544	-1.6614	-0.35334	-0.4625	-0.21637	-0.32475	-0.10647
2	-1.6914	1.0877	0.4725	-1.5111	0.83773	0.32967	-0.94111	1.3745	1.1852
1	0.84313	-0.24952	-0.56678	-0.27797	-0.54407	-1.3431	-0.25809	1.282	-0.056027
1	-0.035988	-2.0608	0.40945	0.30565	-0.62316	0.29468	-0.23983	-1.3008	-0.22695
2	0.075977	1.9441	0.49189	0.37696	0.70796	-0.86073	0.4114	0.22453	0.98819
2	0.28842	1.232	0.33576	0.038484	0.8227	-0.67275	0.41736	0.022429	1.0885
1	1.6374	0.024546	-1.7459	-0.57923	0.68063	0.16658	0.0016636	0.47144	1.1552
1	1.8588	-0.93368	0.28434	-0.7861	1.8997	1.5632	0.67609	1.9808	2.1869
1	1.1439	-2.5158	-0.94428	1.3944	0.47815	1.0813	-0.82034	-0.4671	1.6872
1	-0.83643	-1.1109	0.74783	0.14825	-1.8961	0.53083	0.12628	-0.97035	-1.2131
1	0.80792	-1.2206	-0.53769	-1.9796	-2.0225	-1.3183	1.5367	-0.089998	-0.63818
1	0.46322	-1.6832	-0.68896	-0.11466	0.82291	0.49543	0.64194	-0.78985	0.7928
1	1.1134	-0.7632	-0.52309	0.050666	-0.11115	0.22091	-0.50697	-0.083966	0.28955
1	1.6489	-1.4257	-0.079768	-0.17866	1.3682	0.99716	-0.14071	0.57401	2.0271
2	-3.4201	1.1332	0.55733	1.7639	-1.0408	0.49521	-0.89075	0.63786	-2.4173
2	0.049496	0.17018	0.63955	0.82924	0.50401	1.7456	1.2791	-0.82747	-0.056268
1	0.82888	-1.6152	-0.67552	-0.18412	-0.8324	0.63814	-0.32875	0.56435	0.45993
1	0.38504	-0.014272	-0.79157	0.17829	-1.0883	0.34832	-1.2247	-0.11977	-0.48077
2	-1.4876	0.61139	0.9406	-0.32299	-0.4817	0.91219	0.97626	-0.25486	-0.64597
1	1.3562	-0.30066	-1.6972	-0.51976	-0.31725	-0.76347	0.90608	-1.1069	1.1407
2	-2.5614	0.1045	1.6435	0.97534	-1.3122	-0.7861	-0.20101	0.13606	-1.6992
2	-2.6662	0.95905	-0.35403	-0.3552	-1.8512	-0.15132	-0.41612	0.31836	-2.2106
2	-0.00031444	0.62953	0.088267	0.68222	1.0037	-0.97501	0.05455	2.1016	0.79972
2	0.22638	1.2227	1.4105	0.80602	0.55541	-1.5322	0.0043904	-0.15507	0.68087
2	-2.334	1.5675	1.163	0.272	-1.2525	0.60333	-0.37448	0.8214	-1.9516
1	1.2905	-0.88687	-1.3286	-2.4723	-0.20557	-0.46225	-0.43282	0.0080673	0.6155
1	0.4564	-0.76149	-1.0996	0.91754	-1.2544	0.85041	-1.4562	1.2935	-0.46559
1	1.4499	-0.66586	-0.35765	-1.2333	0.27339	0.71405	0.31118	0.35473	0.29444
2	-0.77922	-0.42723	1.5001	0.0051638	1.708	-1.1243	-1.7226	0.88573	1.091
1	1.4447	-0.16076	-0.43264	-1.3692	0.49062	0.72536	1.0569	-1.0645	1.0431
2	-2.1249	1.55	1.0703	-0.33715	-0.93988	-0.46815	0.37327	0.14989	-1.378
2	-2.1409	1.9364	0.89125	-1.3418	0.0029328	-0.62313	-0.08749	0.8668	-0.022832
1	1.3168	-0.52716	-1.8803	-0.036537	0.018738	-0.35049	-1.0451	0.91575	0.5615
2	-0.71066	1.9845	1.49	0.34891	1.2436	-1.4879	-0.19868	-1.2859	1.4068
1	1.5001	-2.1148	-0.77803	2.3299	1.4564	-2.0676	-0.022721	-0.10446	0.26055
2	-0.6739	0.41846	1.7318	0.68893	0.13108	-0.31544	-1.5612	1.2954	-0.92584
1	1.4702	-1.0425	0.6928	0.072418	0.54485	0.85063	0.0081416	-1.4887	1.4283
1	0.70021	-0.96049	0.073815	-0.42884	-0.069394	-0.21559	-0.026326	1.4426	-0.1714
2	-1.1011	1.959	0.42525	-1.1689	-0.59141	0.10594	0.018948	0.20462	-0.52074
1	1.4069	0.39853	1.1331	0.19914	-0.10243	0.018621	-0.43318	-0.66927	0.39015
1	0.87655	-1.0124	-1.224	-0.46666	-0.07615	0.58575	-2.5462	0.94584	0.028689
2	-1.4734	0.60836	0.57896	-0.63359	0.57633	-1.7896	0.17572	1.9757	-0.63815
1	1.0333	-1.5614	-1.5383	1.438	0.52141	0.24245	-0.53578	1.6605	1.2533
2	-0.3273	1.0926	1.1519	0.16952	1.0365	-0.23815	0.64169	0.60631	0.070148
1	1.7758	-1.2199	-0.5642	-0.30348	-0.64616	0.58837	0.3667	-0.22602	0.18959
1	1.5199	-1.4167	0.75493	-0.56876	-0.25767	-0.15304	-0.50137	0.95964	0.82786
1	1.4824	-1.6233	0.43914	-0.42964	-1.3404	0.22643	-0.1404	-0.61313	0.084143
1	0.44429	-0.57239	-0.87756	0.35081	0.18739	-0.3721	-0.026971	0.30198	0.1578
2	-0.99851	1.6131	-0.023407	0.93921	-0.39113	0.3954	0.61223	-1.5171	-0.23186
1	1.5526	-0.53216	-1.2919	0.2302	-1.4551	-0.78631	0.76506	-1.3068	-0.65802
1	0.94848	-0.51015	-1.0914	2.9383	0.26782	-0.85511	-0.60545	0.54075	0.66057
1	1.3473	-1.6193	-1.3367	0.35306	1.0269	0.9064	0.45715	1.1513	1.8352
2	-1.8273	2.0565	1.3104	0.29618	0.35044	-0.48547	0.88384	0.14121	-0.5916
1	1.5566	0.31096	-1.8396	-0.42655	1.4972	-0.77059	0.19228	-0.23885	1.1498
2	-0.91541	1.1099	-0.025734	0.51863	0.20206	-1.1191	-1.1133	0.045123	-0.50422
1	0.51812	-0.60581	-0.51525	-0.27024	-0.24289	-0.12177	0.08843	-1.1701	0.54732
2	-2.2517	1.8548	0.3887	-0.48496	-0.44221	0.94129	0.86746	-1.3026	-1.1678
2	0.18212	0.78036	0.37111	-0.27298	1.7074	0.34353	-1.4465	0.42845	1.358
1	1.4023	-2.1882	-1.587	-1.7672	-1.0834	1.6286	-1.2021	-1.6029	-0.13929
2	-1.2956	2.1152	2.7519	0.066883	1.1916	-0.43506	1.3982	0.50402	0.12064
1	2.3367	-0.27214	-1.3764	0.11017	1.453	-1.5568	0.8465	-0.078289	1.7156
2	-0.50576	1.8409	0.39684	-0.67433	0.52285	0.39823	0.79306	-0.45694	-0.26349
1	1	-0.59182	-0.31766	0.98958	-0.2262	0.51294	-0.60031	1.0725	0.59729
2	0.19153	0.8046	1.643	0.034662	0.859	0.7859	-0.32844	0.67515	0.20322
1	1.7901	-0.59357	-1.2522	-1.4543	-0.68975	0.39807	0.66376	-0.34466	1.1902
1	1.7089	-0.060397	0.35043	0.80625	0.099879	0.35182	-0.79309	-1.5215	1.0715
2	0.1343	0.95427	0.96941	1.4958	1.5293	0.80648	0.27086	0.22725	1.1392
1	2.8634	0.47861	-2.0142	0.11694	1.8637	0.021456	-0.030072	1.0836	2.0311
2	0.48387	-0.64355	1.4169	0.74074	1.2122	-1.1388	-0.27931	0.32164	0.54646
2	-0.74265	2.4938	2.0609	0.27613	0.097949	0.19312	-0.5424	0.075476	-0.43488
2	-0.29163	0.040455	0.82654	-0.28016	1.2311	1.9005	0.3332	0.84937	1.0188
1	1.4611	0.12262	-1.6808	0.83668	0.73216	-0.78731	-0.78309	0.048527	1.9664
1	0.18222	-1.1837	-0.45627	-0.39739	-1.7104	0.031619	1.0594	-0.63454	-1.8183
1	-0.65677	-0.84807	-1.6193	-0.47942	-1.0684	0.88853	-0.89937	0.52119	-1.4839
1	1.2698	-1.435	-0.63897	-0.01313	-0.99173	2.5522	-0.56152	-0.56106	-1.1274
1	1.385	-0.13768	-1.0754	-0.47919	-0.003611	-1.5125	0.052625	1.5811	-0.12839
2	-1.0548	0.052238	0.2412	0.27463	0.22433	1.4336	1.0572	0.26996	0.41029
1	0.7721	-0.67292	0.39868	0.37861	-1.4934	-0.47718	0.17927	0.85268	-0.72091
1	1.2427	-1.9735	-0.29186	-0.52621	-0.11644	-0.43715	-0.24664	-0.93071	0.31767
2	-2.8043	1.0978	1.4787	0.36056	-0.96764	0.88555	-0.15218	0.98887	-1.5008
2	-1.2951	0.83324	1.171	-1.2691	0.36927	0.76625	-0.92005	0.24768	-0.054118
2	1.3095	0.99843	0.13992	0.66979	2.1828	0.89717	-0.72625	-0.34445	2.1892
1	1.2584	0.38994	-0.68463	-0.18974	-0.78064	0.77286	-0.83635	-0.60385	0.92861
2	-1.0711	2.0033	1.0809	-0.51058	-0.023381	0.67482	-0.59591	1.1403	-0.45183
2	0.21944	1.3571	1.4359	0.78966	1.663	1.6785	0.58208	-0.74842	0.20906
1	0.011518	-1.0425	-1.1304	-0.070319	-2.5168	0.39814	-0.33423	-0.78894	-2.0357
2	0.69198	0.5718	0.47852	0.63681	1.8381	-0.38219	-0.27264	-0.64378	2.0531
1	1.7602	-0.041861	-1.5806	1.2187	0.62789	0.63859	-0.56816	1.0461	1.2766
1	1.3974	-0.72864	-1.3122	0.98553	-0.40148	0.73259	-0.54019	1.2025	0.62291
1	2.0292	-1.17	-0.92469	-0.4438	1.0769	0.3171	1.863	-1.4777	2.183
1	0.82444	-0.11125	-1.7986	0.22037	-0.58058	-0.28998	-0.36893	0.1951	-0.014686
1	-0.26775	-1.8824	-1.0596	-1.1796	-0.88341	-0.41298	0.2225	-0.34038	-1.9099
1	1.0464	-1.5432	-1.1439	-0.16887	-0.58282	-0.58015	0.071053	-2.0172	0.40629
2	0.48496	0.88721	0.068703	-0.062814	1.8539	0.76736	-0.69119	2.5673	1.7942
2	-2.5964	1.666	0.64624	0.29818	-1.2247	-1.7919	-0.46627	-0.48313	-2.4143
1	1.2985	-0.65098	0.20448	-0.94345	0.87214	-1.6734	-0.068609	-0.4095	1.9333
2	0.22616	1.0924	1.3477	0.055694	1.4254	1.8744	0.11516	1.7865	-0.63249
2	-0.088217	0.9008	0.6155	-0.80262	1.0367	0.52624	0.47333	-0.99159	1.1763
2	0.49566	0.27083	0.36027	0.81907	2.1477	-0.09016	-0.060519	-0.84038	1.2276
2	-0.95509	0.76962	1.617	-0.18465	0.54306	0.11383	-0.74663	1.2036	-0.15892
2	-2.1626	0.76688	0.61098	-0.58151	-0.48433	-1.65	-0.4727	-0.81084	-1.991
1	1.7072	-1.4061	-0.93099	0.20659	-0.6383	-0.52376	-0.59362	0.73275	0.14137
1	1.1248	-0.25303	-0.59647	0.88007	0.15399	0.51682	0.81114	0.50757	1.0622
2	-0.71804	0.42061	1.375	-0.1329	-0.13315	0.694	0.51403	0.7759	-0.19636
2	-0.78286	1.5434	1.1806	-1.684	-0.84914	-0.26491	-0.18979	-0.39503	-0.52299
2	0.014488	1.8201	0.1954	-0.95429	1.2411	-0.58396	0.55811	-0.46832	0.47374
1	1.0749	0.50186	-1.2937	-0.90643	-1.2159	-0.19162	0.7674	1.3112	0.1246
1	0.68887	-0.44578	-1.0028	-0.11492	-0.20396	0.84785	-0.15439	0.32438	-0.039298
2	0.16742	2.9261	-0.74973	-0.39068	1.7798	0.42686	-0.080223	0.42411	1.6039
1	-0.18087	-1.5505	-0.62971	0.016341	-1.5144	-1.0188	2.0846	0.043907	-1.1922
1	0.95661	-2.0166	-2.1997	0.90248	0.54062	0.041709	0.90484	-0.85369	-0.13388
2	-0.31077	0.51779	0.95641	-0.4625	1.0018	-1.0891	-1.3434	0.41807	0.50029
1	0.91328	-0.44549	-2.0298	-1.174	-1.034	0.4279	-2.5807	0.4737	-0.85271
1	-0.23575	-2.037	-0.2611	-1.4787	-2.7359	-0.17981	0.87371	0.47744	-2.3323
2	-1.4541	0.20996	-0.05013	0.84273	0.46742	1.5516	-1.0325	0.70636	0.30572
2	-1.2945	0.85979	1.4434	0.58762	0.48371	-0.71804	-0.9537	-0.78726	-0.53815
2	0.74344	0.32219	0.79813	-0.31128	2.9169	-0.23629	1.4931	-0.35416	1.8392
1	0.17191	-0.10805	-0.90104	-1.2155	-1.8461	0.41305	-1.3882	-0.70599	-1.4386
2	-0.40498	1.9161	0.64926	-0.022772	0.98396	-0.26674	1.295	1.3676	0.78339
2	-0.37054	1.509	1.6115	-0.58429	0.1452	1.167	-1.1994	0.076682	-0.76871
2	0.61117	-0.31328	1.4496	-1.0086	1.5965	-0.44863	0.87281	-0.013992	1.2945
2	-2.5627	2.5993	1.1595	-0.14098	0.0029615	0.58802	-1.7538	-0.44999	-1.599
2	-0.871	0.043195	1.076	-0.56146	0.50375	0.85785	-0.11991	0.58565	-0.12111
1	0.26437	-1.5194	-0.99247	2.0087	-0.53643	-0.028452	-0.60254	-1.0593	-0.44553
1	1.4337	-0.4955	-0.38857	1.7006	-0.029221	0.72542	-0.5476	-0.25228	0.99248
1	1.2526	-1.0033	-1.5107	-0.50129	0.52008	1.8291	0.25094	0.8054	1.4381
2	-1.2973	0.63457	0.23922	-0.83426	-0.3921	0.48332	0.6937	-0.90008	0.28163
2	-0.68226	1.0692	1.7561	0.16471	0.93344	-0.85611	0.17721	-2.744	0.79804
1	1.1524	-2.2292	-0.55308	1.0928	-0.12293	-1.1935	1.2415	-0.70506	1.079
1	0.9021	-0.91029	-2.3501	-0.4621	0.22359	0.6318	0.020605	1.0348	0.40828
2	-0.76595	0.8248	1.9282	-2.1827	0.12486	0.79045	-1.0793	0.85428	-0.38859
2	-1.8465	1.2372	1.4255	-0.64113	1.7146	1.75	1.0757	2.1723	-0.10888
1	0.4124	-0.023721	-0.75091	0.0023936	-0.28659	-0.41428	-0.016011	0.6957	0.69187
2	-0.45813	0.69702	1.7516	1.0408	0.15944	0.1227	0.38587	0.74631	-0.89003
1	0.538	-0.35454	-0.3801	-0.53212	-0.68379	1.224	-0.77711	-0.90789	0.49391
1	-0.20833	-2.8331	-1.3705	1.1197	-1.344	-0.82517	1.523	-0.91541	-0.96558
1	0.7891	-1.2808	-1.1525	0.88602	-0.16858	-1.7123	0.77873	-0.20954	-0.16867
2	-1.3314	2.8851	0.58893	1.7864	-0.23105	0.055718	-0.12725	0.76001	-1.5992
1	0.73632	-1.3301	-2.9522	0.52725	-1.08	-0.06714	-0.94698	0.45418	0.41486
1	-0.35063	-1.2931	-1.7601	0.69363	-1.4744	0.24266	-0.53511	0.79048	-1.1274
1	0.49595	-1.7854	-2.069	-0.16771	-0.40006	0.44868	-0.4303	-1.5395	-1.066
2	-0.83194	1.8975	0.64283	0.057645	-0.11672	-0.27891	0.11427	0.37462	-1.1174
1	0.13137	-1.3172	-1.3952	0.60281	-0.59451	0.40422	-1.903	0.19047	0.63287
1	0.79379	-2.4506	-0.74815	0.095119	-0.99504	0.56827	-0.27855	1.1757	-0.06042
1	-0.082568	-3.4167	0.10544	-0.46771	-0.47642	-1.255	1.1708	-1.1147	-0.49832
1	2.2039	-1.3601	-2.4033	-0.96653	0.33475	1.6743	-0.18215	0.26277	1.2449
2	-2.4832	1.2267	1.3225	-0.44129	-0.82506	-0.44882	-1.3962	-0.7991	-1.6171
2	-0.46149	0.35062	0.24453	0.83174	1.0664	-0.43189	-0.035901	-0.01857	-0.36555
1	1.3889	0.052183	-1.2924	1.3615	-0.04596	-2.3656	0.38864	-1.7679	0.75491
1	-0.68146	-1.242	-1.0646	-1.43	-1.2204	-0.57024	1.9686	-1.3026	-1.5174
2	-1.7219	1.7273	1.3099	-1.4944	0.38043	-0.45523	-0.1014	0.22334	-0.28025
1	0.4601	-1.2706	-3.0004	0.76391	-1.0926	-0.62232	-1.4501	1.8045	-0.8909
2	0.63508	0.82051	0.86771	-0.03764	2.0161	0.47394	0.72173	0.1272	0.90096
2	-0.50664	0.34365	-0.25494	-0.017548	0.40843	-0.051173	-0.39524	0.91238	-0.53873
2	-2.0811	0.89924	1.0192	0.43669	-0.49654	-0.23137	0.41548	-0.30013	-1.4364
1	-0.056347	-1.55	-0.99371	-1.2894	-0.54273	0.29751	0.20504	-0.42535	-0.30966
1	0.63831	-1.9968	-0.82023	0.55724	-2.0781	0.85777	0.23729	-0.92902	-1.6423
1	0.7966	-1.5913	-0.52401	-0.19794	-1.6834	-0.3534	-0.46345	1.1393	-0.65595
2	0.10773	-0.33975	-0.087855	0.29636	0.96272	-0.39449	-0.9227	0.43119	0.37524
1	1.0429	-2.6154	-1.0715	-0.95629	-0.89564	0.66231	0.11241	1.2325	0.32819
2	-1.6843	1.3516	0.30108	0.72455	-0.23492	1.5917	0.52992	0.55089	-0.67923
1	0.83236	-1.7333	-1.3285	-0.84552	-1.5398	0.63718	-0.92241	0.65631	-0.20652
2	-1.4221	2.5458	0.98922	-0.97179	0.27368	0.51406	0.34173	0.18592	-1.2884
2	-1.7862	0.7866	0.99765	-1.3351	0.49844	-0.43267	-0.53121	-1.4309	-0.56164
1	1.4776	-0.21831	-0.99715	-0.43224	-0.74575	-0.54461	-0.93794	0.96267	-0.10238
1	1.7229	-1.0653	-1.0424	-0.3796	0.61655	0.95133	0.98557	-0.36444	0.86756
2	-0.23995	-0.13066	0.42758	2.147	1.4597	-0.19292	-0.86687	-0.39257	0.27569
2	-0.20121	0.59656	1.9887	0.13145	0.1327	-0.19727	-0.05865	0.48741	0.25007
2	-0.34495	2.2333	1.1524	-0.3531	0.51244	-1.0083	-0.22929	0.97338	0.57683
2	0.03843	2.0985	1.5399	-0.44067	0.39468	0.66165	0.66233	2.0593	-0.89779
2	-0.79583	-0.26167	1.7969	-0.83981	0.44149	0.7226	0.89209	0.58699	-0.022219
1	0.44433	-0.9731	-1.1557	0.30092	-2.0491	-0.64077	-1.2024	0.27957	-0.594
1	-0.5687	-1.2111	-0.75535	0.14432	-2.5169	2.0343	0.43688	0.19656	-1.4058
1	0.74067	-2.7385	-0.5607	-0.1682	0.75534	-0.10032	-0.57514	-0.6271	0.86134
1	1.3443	-1.3033	-2.9093	-1.1089	0.13087	-0.64097	0.3585	0.68683	0.40175
1	0.34499	-1.2307	-1.0615	-0.056169	-0.66885	1.0018	0.82215	-1.2896	0.33605
1	1.7055	-1.6123	-1.7269	1.149	0.91344	0.15816	0.08206	-1.0272	1.1846
2	-2.257	1.8592	0.85977	1.5261	0.41802	1.6948	0.56961	2.0545	-1.7022
2	-1.1666	0.71643	1.5052	0.88419	0.97675	-1.125	0.3411	-1.8831	-0.36783
2	-2.8249	1.0453	1.0209	1.1005	-1.2481	-0.97923	-0.2972	1.2716	-1.4542
1	-0.22349	-1.4876	0.16086	1.2627	-1.3753	-1.4312	1.5506	-0.28627	-0.13164
2	-1.6498	0.87841	0.00037123	0.074895	-0.55409	-0.36662	1.0731	2.664	-0.749
2	-0.46646	0.70235	1.1324	-2.5793	0.67907	0.35468	-0.32694	-1.1455	0.56525
1	1.2694	0.46784	-1.4293	-0.50127	-2.0587	-1.8261	0.36831	1.7871	-1.5834
1	1.5754	-1.0397	-0.5639	2.0739	0.53841	-0.70667	-0.65273	1.3444	0.45546
1	-0.13986	-0.92734	0.87918	-0.72209	-0.5052	0.39414	-1.8605	0.98483	-0.37829
2	-0.95014	0.83973	1.4337	-1.1105	0.072627	-1.2172	-1.6062	0.079614	-0.040378
1	1.1359	-1.4676	-0.79366	0.068314	0.20653	-0.21332	0.8022	0.58405	0.92071
2	-4.4596	1.8899	1.1644	0.58514	-2.6451	-0.26627	1.6536	1.2677	-3.7338
1	1.5815	-1.7598	-1.5736	0.46493	0.015353	-0.31082	-2.2055	0.14685	0.11537
2	-0.79178	0.27783	0.5954	-0.78667	0.40642	0.42974	-0.63366	1.0762	0.62431
2	-1.0134	1.2166	1.1865	1.5637	1.1099	2.4594	0.40801	-0.85353	0.72663
1	0.77943	-1.4202	-1.6749	0.0012415	-0.83458	-0.12672	-0.94554	0.89884	0.012849
2	-1.4274	0.9359	0.88402	-0.76419	-0.50766	0.55146	-0.63931	-0.65644	-1.0529
2	-0.71825	0.92276	1.0007	1.2904	1.4708	-0.52982	0.9275	0.94508	0.4575
1	0.502	-1.2444	-0.25346	1.2023	0.16167	0.85576	0.034795	0.46868	1.3265
1	-0.025698	1.1754	-1.0638	1.0218	-2.0164	0.55502	-0.12178	-0.10811	-1.6111
2	-0.86777	0.31084	1.7383	0.39918	0.22035	0.14221	1.646	-0.97712	-0.59459
2	-0.19808	1.9089	0.60873	0.12475	0.10092	-0.5944	-0.66923	0.055193	0.31899
2	-1.0644	2.2357	0.13503	1.2076	1.657	-0.83795	-0.46089	0.42362	0.29853
2	-0.53265	0.76969	1.0687	-0.79048	1.1924	0.53681	-0.38366	-1.1613	0.42401
2	-1.4567	1.5038	1.7125	-1.9757	1.1075	-0.81071	0.29591	0.95985	-0.25161
2	-2.7546	-0.21024	-0.041926	-0.24552	-0.6494	1.8608	0.86785	1.3512	-0.89236
2	-0.54365	0.8237	-0.31856	-1.6296	0.73174	0.89915	0.91228	-0.66788	0.075926
1	0.65472	-2.4675	-1.2267	-0.64632	-0.24147	0.5015	-0.24368	1.7307	-0.33117
1	1.9061	-2.4358	-0.62051	-0.40306	0.35877	0.13681	0.5665	1.1077	0.90585
1	-0.34786	-0.97138	-1.3607	0.74793	-2.3185	1.1517	0.35912	-0.22501	-1.7136
1	1.509	-0.58183	-1.336	0.095131	-1.0719	-0.17454	-0.42425	0.21663	0.41672
2	-1.1281	0.73596	1.3241	0.75066	-0.0098067	0.94941	-0.88569	0.96608	-0.58258
1	2.0808	-1.2665	-0.27892	0.034005	1.5957	0.34276	-1.3939	0.20516	1.0361
2	-0.27208	1.3514	0.78429	0.54442	1.2344	-1.0745	0.28837	-0.84074	-0.20416
1	2.5732	-1.8429	0.35018	0.47113	-0.22532	-1.779	1.5326	-1.0015	1.0285
1	1.524	-2.2514	-1.7375	-0.45648	1.0921	-1.1141	1.436	0.99093	1.3581
1	0.60324	-0.46804	-0.11489	-2.454	-2.7665	0.61676	-1.5213	-1.192	-1.4163
2	0.29712	1.188	0.57954	1.3259	0.95488	-0.70707	0.067457	0.47216	1.0369
2	-0.97992	0.019053	1.3311	-0.33347	0.2814	-1.2616	0.90909	-1.0725	-0.62617
2	-0.9056	0.73973	0.35093	-2.111	-0.50769	1.2491	0.64846	-1.0716	-0.35201
1	1.3209	1.9154	-0.56509	0.70008	-1.6874	-0.92485	1.2406	1.7231	0.39622
2	0.10632	0.88089	1.1544	0.27737	2.4332	-0.063819	-0.084136	-0.58305	1.1337
1	0.7003	-1.4112	0.77725	0.95921	-1.239	-2.6684	-0.48008	-0.92359	-0.94882
2	-2.0912	0.21124	1.0428	1.3279	-0.6659	-0.89398	0.5482	-0.029518	-1.2925
2	-1.1484	2.2537	1.3423	-0.20816	0.31427	1.3603	1.6596	-0.49629	-0.63146
1	1.2996	-2.8499	-0.97843	0.57176	-1.0424	-0.30734	-1.7632	-0.64856	-0.28028
1	2.4392	-0.85404	-0.1262	-0.054289	0.1684	-1.3913	-0.4719	1.0582	1.4183
2	-2.8357	2.1818	1.307	-1.1424	-0.97969	0.53689	0.33598	-0.11592	-2.0398
2	-3.381	0.65778	0.8815	0.35115	-1.0556	-0.15942	-0.15958	0.57712	-2.8992
1	1.9169	-0.15977	-1.1239	0.80773	-0.63434	-0.77712	-0.74684	0.97499	0.8461
1	1.3703	-1.0164	0.45114	0.073799	1.259	0.40628	-0.11775	0.14354	2.0331
2	-0.57067	-0.26266	0.56169	0.65535	0.78349	-0.66788	-0.41928	-0.77901	-0.27518
1	-0.31373	-3.348	0.66363	-0.88205	-0.69595	1.0783	-1.9735	1.7579	-0.011735

